Education,Labels
and closed ended funds,0
Major in Banking and Finance Aug 2013 Jul 2016,1
 Full set fund accounting and NAV valuation,2
"structuring, trade transactions, asset protection, tax planning, business and family",2
BSc (Hons) Banking and Finance Degree University of London,1
CFA Research Program for Level I & II 2015 2016,1
S p e c i a l S k i l l s,0
"Dynamic AX, JDE (JD Edwards)",2
Foundation Diploma in Computer Stream,1
an ongoing basis to ensure compliance with local regulations,0
 Provide full suite client service to investment managers,2
and external stakeholders,0
B.B.A Bachelor of Business Administration,1
"Paxus  has a very good command in computer applications Microsoft Word, Excel, Outlook,",2
"Chartered Accountant (CA), Singapore Mar 2014 - Present",1
basis while ensuring deadlines are met.,0
 Credit grade average in all Accounting subjects,2
 Member of Golden Key International Honour Society membership into the Society is by invitation only and,0
 Support fund formation and setup activities,2
Bachelor Multimedia Communication (Hons),1
completion date),0
"performances fees, equalisation and forced redemption .",0
"School of Economics and Management, Nanjing Agricultural University Nanjing, China",3
August 2003 - December 2005,0
2011-2014 BSc Accounting & Finance,1
Handled funds with master feeder fund structure with mutli line hedging,2
" Islamic Financial Qualification , Chartered Institute for Securities Investment",1
 Manage juniors and assist them in work to ensure deliverable of funds are not,2
funds  Ensure client deliverables are met within the tight deadlines with,2
Services Centre,0
"Bachelor of liberal arts, International Relations and Asian Economic history",1
FCO Emergency Unit member 98/99,0
 Qualitative Analysis,2
Exchange Student for fall semester,0
"Kathmandu, Nepal",0
Banking & Finance (IBF) Module 3 Fund Management,2
"IPCC 55 INSTITUTE OF CHARTERED ACCOUNTANTS OF INDIA,Bangalore",3
"to the fullest potential as a professional, in an effort to contribute to society.",0
 Responsible for sales and operations of the firm,2
Languages Chinese - Mandarin (Fluent),2
"Bachelor of Business, major in Banking and Finance",1
English (UK) (Fluent),2
"Liqwit Creative Firm | Beirut, Lebanon 2010 - 2013",0
"focused in growth cities in Asia Pacific, Americas, Europe and the Gulf Cooperation Council (GCC) countries.",0
duties/obligations risk matters,0
"Family office services - property purchases, personal and private investments",0
"Monthly  Reporting to Board and Staff Appraisal, Product Development and Integration",0
Hong Kong Certificate Education of Examination (2009),1
" Competent with Oracle database, Hyperion Essbase, Peoplesoft accounting system, Microsoft",2
CFA Level 1 Exam (Pass),1
Reconcile dividends and equity swaps/collateral and any interests related,0
2007 - 2008 Singapore Assistant Compliance Manager at Aberdeen Asset Management,0
"Excel, Word, Photoshop, illustrators",2
" Company formation (Hong Kong, BVI, Guernsey, Singapore, Bahamas, New",0
Unified Examination Certificate (UEC) Jan 2005 Nov 2010,1
 Financial Management,2
PROFESSIONAL EXPERIENCE,0
Asset purchases ranging from £ multi million property purchases (through dry trust,0
" Preparation and documentation relating to corporate, trust, fund and partnership",2
National Junior College Jan 05 Dec 06,3
Hong Kong Polytechnic/HKMA 1994,3
 Graduated with Distinction.,0
 Institute of Chartered Secretaries,3
Tertiary Entrance Exam 2002 2004,1
Royal Melbourne Institute of Technology (RMIT),3
2011)  Certified in Capital Markets and Financial Advisory Services (CMFAs) Institute of,1
"Managing day to day client requirements payments, purchases, distributions,",2
assess deal risks and rewards; developed and presented credit proposals to Credit Committee; originated,2
" Consultation with 3rd parties on tax returns, distributions, legislation",2
 Co-founded and launched an advertising and graphic design firm with a new edge where projects are backed,0
"repository for improved digital extraction, physical tagging and ultimate",0
"Ohio, United States of America",0
TSL Group Pte Ltd,0
"Sekolah Menengah Teknik Setapak, Kuala Lumpur",0
Asian Carats Pte Ltd,0
- LCCI Level 2 Certificate in Text Production (Pass with Distinction),1
"Bachelor of Accountancy, Xiamen University, Xiamen, PRC 2006 2010",1
"July 2003 June 2006 University of Melbourne, VIC, Australia",3
University of Surrey,3
"Mar 2006 to Mar 2009 Diploma in Banking and Financial Services (Major in Financial Trading),",1
" Bachelor of Business (Economics and Finance) with Distinction, 2009",1
 Reconciliation of final tax returns with the expected results,0
 Bachelor of Business (Banking & Finance),1
and make suggestions for process improvement.,0
Cranfield University,3
"FDI as a cause of economic development in the CEE countries, using ‘Gravity Model’ approach”",0
"queries.  Complying and onboard new internal controls, policies and procedures. Review",0
Administration (international exchange program).,2
 Experienced track record in setting up several hedge funds and involved in end-to-end fund,2
"Master of Science in Applied Finance, Singapore Management University 2011 - 2012",1
"Mar. 07 Aug. 13 Korea University Seoul, Korea",3
" Key account management, product, entity and services development and",2
GCE O’ Levels,1
English and Mandarin Chinese (native fluency in both),2
The CITCO Group of Companies,0
Audencia Nantes Grande Ecole,0
" Have financed 100% of all college expenses through savings, work study grants, and scholarships",0
Singapore Aug 2012 Present,0
 Cashflow planning & management for different entities located in different area to,2
"Corporate Intelligence, Compliance & Governance Consultants Limited",2
Mangement Jun 2012 Oct 2014 Finance Executive,2
" Securitisation - SEC/Securities and Exchange Commission, Sri Lanka",0
(F.1-F.5/HKCE),0
Grade Asc Degree,1
2003 2008 Concordia Lutheran School,3
October 2015),0
1991 1993 Damansara Utama College,3
The Chinese University of Hong Kong Jun 08 Aug 08,3
 Financial system stability and framework Central Bank of Sri Lanka,0
3.83/4 WORK EXPERIENCE,0
I was awarded the School Leaving Certificate upon successful completion of the course in First Divison.,0
"2015 Present Honorary Treasurer - Council Member, Club Rainbow Singapore",0
primarily in asset/fund management with managerial oversight responsibilities in end-to-end fund,2
August 2015Summer Academic Exchange,0
"Masters in Finance, a post-experience/MBA level degree",1
IT Advance use of Microsoft Excel and basic use of Microsoft Access (creating table and simple queries),2
Awarded with “KUDOS” - spot recognition award for exemplary,0
"high level of integrity, and excels in a fast-paced, high pressure environment.",2
Chinese - Cantonese (First Language),2
"using in-house reconciler / excel spread sheet, supported by client’s",2
Nanyang Polytechnic 2008 - 2011,3
Microeconomics,2
Company Law and Practice Trust Creation Law and Practice,0
appropriate and adhered to at all times. Identifying risk areas and ensure,0
 Support new clients conversion projects,2
OTHER INFORMATION,0
"Graduated with a Diploma in Business Information Technology, May 2001 to June 2004",1
Chartered Financial Analyst (CFA) Passed all 3 levels JUN 2016,1
Profile Notes and Activity (1),0
 Bachelor of business in Accountancy from RMIT (SIM),1
ASEAN Collective Investment Scheme (CIS).,0
//app.box.com/s/gyx9cynkdnx6fsmv78trciml4jhrn6is,0
"Ernst & Young - Senior Accountant, Assurance Oct 2010 Jan 2014",0
nd Prize)  Finished 2nd in AIFA College Financial Modelling Competition 2015 (China nationwide contest).,0
Investment Management,2
"Certified Chartered Accountant, CA (Singapore), 2016",1
Diploma in Civil & Environmental Engineering,1
 Qualitative Analysis,1
University of London (LSE),3
WORKING EXPERIENCE,0
 HKICPA - Aptitude Test - Hong Kong Law (Jun 2014),1
2014 8I Education Pte Ltd Certificate in Millionaire Investor Program (MIP),1
Banking & Finance (IBF) Module 8A Collective Investment Scheme II,2
" Colombo Stock Exchange (CSE) Certified Investment Advisor, Derivatives Trader & Sponsor",1
Responsibilities,0
Bachelor of Art in Finance 2007 2011,1
(Magnitude) CFA Level 1 (Currently pursuing),1
" Experience with a variety of fund types including traditional long/short equity, fund-of funds, private equity, and both open",2
 Advanced Audit and Assurance Credit,2
University (Czech Republic) and Webster University (Vienna Campus),3
" Proficient in English, Mandarin and Malay",2
"x Performed industry and company analysis, applied Net-Asset-Value and Earning-Power-Value based valuations on four US",2
" Direct managerial responsibility for the trust team, ensuring that a first class",2
"02/12/2017; 96  Financial Management “FNCE 601”, MBA Wharton B-school, as part of UCL advanced modules program;",2
ADDITIONAL INFORMATION,0
"of sector relevant information covering high net worth individuals, entrepreneurs,",0
"Notre Dame University | Beirut, Lebanon",3
 Obtained an A in Reading and Language Systems of Use of English in HKALE 2005,2
1st Class Honors,0
Sep 2011 to Aug 2013,0
Fund Accountant May 2013 to Jan 2015,0
 Technical Analysis Reuters / Smartline Training Institute (14 day resident course),2
ADV PARTNERS Shanghai,0
 Maintained administration records that monitor business improvements and audit issues.,2
"(Yong Peng High School, Johor, Malaysia)",3
(Kuala Lumpur),0
